risk_id,system_id,system_name,risk_category,risk_description,inherent_rating,existing_controls,control_effectiveness,residual_rating,treatment,owner,accepted_by,date_identified,due_date,status,linked_condition,notes
RSK-0001,AI-0001,Small Business Credit Scoring,Explainability,Model complexity may limit ability to produce specific and accurate principal reasons for adverse action,High,Reason code methodology validated by Model Risk; sample reviewed quarterly by Compliance,Effective,Moderate,Mitigate,Credit Risk Analytics Lead,EVP Commercial Credit,2026-05-02,,Closed,,CFPB Circular 2023-03 considered in method selection
RSK-0002,AI-0001,Small Business Credit Scoring,Disparate impact,Geographic and industry features may proxy for protected class,High,Annual fairness testing; less discriminatory alternative search documented at build,Effective,Moderate,Mitigate,Compliance,EVP Commercial Credit,2024-03-18,,Monitored,,Next test due 2027-05-02
RSK-0003,AI-0002,AML Alert Triage Scoring,Model performance,Deprioritization of true positives could reduce suspicious activity detection effectiveness,High,No alert suppressed; all alerts reviewed; threshold rationale under documentation,Partially effective,High,Mitigate,Financial Crimes Analytics Manager,BSA Officer,2026-03-14,2026-11-14,Open,COND-0112,Condition open: document and validate threshold rationale
RSK-0004,AI-0003,Mobile Banking Customer Assistant,Confabulation,Assistant may state incorrect fee rate or term to a customer creating UDAAP exposure,Critical,Retrieval grounding with citation; fixed evaluation set with 98 percent accuracy threshold; 5 percent output sampling; escalation to live agent,Effective,Moderate,Mitigate,Digital Product Manager,SVP Digital,2026-01-28,,Monitored,,Evaluation repeated on every vendor model version change
RSK-0005,AI-0003,Mobile Banking Customer Assistant,Vendor model change,Provider may update the foundation model without notice changing behavior in production,High,Contractual notice clause added at 2026 renewal; version pinning available; re-evaluation on change,Effective,Moderate,Mitigate,Digital Product Manager,SVP Digital,2026-01-28,,Monitored,,Notice clause is the control that makes the reassessment trigger operable
RSK-0006,AI-0003,Mobile Banking Customer Assistant,Prompt injection,Customer supplied text could manipulate assistant behavior or extract system content,High,Input and output filtering; no tool or action authority; adversarial testing before launch and on version change,Effective,Low,Mitigate,Information Security,SVP Digital,2026-01-28,,Closed,,Retested 2026-08-19
RSK-0007,AI-0004,Contact Center Agent Assist,Automation bias,Agents may accept suggestions without independent judgment under handle time pressure,High,Override rate monitored monthly with 25 percent threshold; agents not measured on suggestion acceptance; quarterly calibration,Partially effective,Moderate,Mitigate,Contact Center Operations Manager,VP Customer Care,2026-06-09,2026-12-09,Open,COND-0128,Condition open: add suggestion confidence display to agent interface
RSK-0008,AI-0006,Entity Resolution Service,Upstream dependency,Errors propagate into AML monitoring without independent detection at the consuming model,High,Dependency mapped in both directions; exception queue for steward review; error rate reported to AML model owner,Effective,Moderate,Mitigate,Data Platform Lead,Chief Data Officer,2026-02-27,,Monitored,,Category C risk pattern; most likely place for undocumented AI risk inside a validated model
RSK-0009,AI-0007,Branch Policy Assistant,Entitlement bypass,Retrieval could surface content the requesting user is not entitled to see,High,Entitlement aware retrieval enforced at index level; tested semiannually with segregated accounts,Effective,Low,Mitigate,Information Security,SVP Retail,2026-03-19,,Closed,,Most common serious finding in early enterprise retrieval deployments
RSK-0010,AI-0008,Enterprise Drafting Assistant,Data leakage,Employees may enter customer or confidential data into the tool,Moderate,DLP extended to this destination; acceptable use policy attestation; tenant isolation and zero retention configured,Effective,Low,Mitigate,Workplace Technology Manager,CIO,2026-01-15,,Monitored,,Pattern P-01 conditions limit approved data classification to internal
RSK-0011,AI-0009,Applicant Screening (vendor feature),Employment discrimination,Vendor screening feature ranks applicants with no fairness testing performed by bank or vendor,Critical,Feature disabled; recruiters reviewed all candidates during the period it was active; look back underway,Not yet effective,High,Avoid pending assessment,Talent Acquisition Manager,CHRO,2026-08-26,2026-11-26,Open,COND-0141,Enabled by vendor default in 2025 and not registered; found through the annual vendor AI questionnaire
RSK-0012,AI-0009,Applicant Screening (vendor feature),Governance failure,An automatic Tier 1 system operated in production for 18 months without registration,High,Vendor AI questionnaire now annual; default off negotiated at renewal; discovery sweep extended to all HR systems,Partially effective,Moderate,Mitigate,AI Governance Manager,CHRO,2026-08-26,2026-12-31,Open,COND-0142,Root cause: intake did not reach vendor enabled features; acceptable use policy section 6 updated in response
RSK-0013,PROGRAM,Program level,Concentration,Four of ten registered systems depend on a single foundation model provider,Moderate,Dependency map maintained; concentration reported semiannually; alternative provider identified for AI-0003,Partially effective,Moderate,Monitor,AI Governance Manager,Chief Risk Officer,2026-07-15,,Monitored,,Concentration exists across different contracted vendors sharing one model provider
RSK-0014,PROGRAM,Program level,Inventory completeness,Discovery continues to find systems that did not come through intake,High,Quarterly discovery across procurement CASB expense and vendor attestation; non punitive registration path,Partially effective,Moderate,Mitigate,AI Governance Manager,Chief Risk Officer,2026-04-01,2027-03-31,Open,,Coverage estimated at 82 percent against discovery; target above 90 percent
