system_id,system_name,affiliate,business_unit,accountable_executive,day_to_day_owner,purpose,category_A_B_C,model_inventory_id,system_type,build_or_buy,vendor,product,foundation_model,model_provider,data_classification_max,contains_NPPI,jurisdictions,impact_score,data_score,autonomy_score,regulatory_score,tier,tier_rationale,human_oversight,kill_switch,status,production_date,last_assessment,next_reassessment,open_conditions,monitoring_owner,notes
AI-0001,Small Business Credit Scoring,Bank A,Commercial Lending,EVP Commercial Credit,Credit Risk Analytics Lead,Scores small business credit applications to support underwriting decisions,A,MDL-0417,Predictive,Build,,,,,Restricted,Yes,UT;ID;WY,High,High,Medium,High,1,Contributes directly to a credit decision subject to ECOA and Regulation B adverse action requirements,Human in the loop for all declines and all exceptions,Yes tested 2026-06-11,Production,2024-03-18,2026-05-02,2027-05-02,0,Credit Risk Analytics Lead,Independent validation current; adverse action reason method reviewed by Compliance
AI-0002,AML Alert Triage Scoring,Holding Co,Financial Crimes,BSA Officer,Financial Crimes Analytics Manager,Prioritizes transaction monitoring alerts for analyst review,A,MDL-0388,Predictive,Buy,Vendor B,Monitoring Suite,,,Restricted,Yes,All,High,High,Medium,High,1,Contributes to suspicious activity identification; automatic Tier 1 trigger,Analyst reviews every alert regardless of score; no alert suppressed,Yes tested 2026-04-22,Production,2023-09-05,2026-03-14,2027-03-14,1,Financial Crimes Analytics Manager,Condition open: document threshold rationale for deprioritization band
AI-0003,Mobile Banking Customer Assistant,Bank A;Bank B,Digital Banking,SVP Digital,Digital Product Manager,Answers customer questions about accounts products and self service tasks,B,,Generative,Buy,Vendor C,Assistant,Foundation Model X,Provider X,Restricted,Yes,UT;CO;AZ;NV,Medium,High,Medium,High,1,Customer facing free form generative output; automatic Tier 1 trigger,Human on the loop with escalation to live agent; sampling at 5 percent,Yes tested 2026-08-19,Production,2026-02-10,2026-01-28,2027-01-28,2,Digital Product Manager,Utah AI Policy Act disclosure implemented; evaluation set v3 in force
AI-0004,Contact Center Agent Assist,Holding Co,Customer Care,VP Customer Care,Contact Center Operations Manager,Suggests next best response and surfaces policy to live agents,B,,Generative,Buy,Vendor D,Agent Assist,Foundation Model Y,Provider Y,Restricted,Yes,All,Medium,High,Low,Medium,2,High data sensitivity with human in the loop; agent decides what to say,Human in the loop; agent reviews every suggestion,Yes tested 2026-07-30,Production,2025-11-04,2026-06-09,2027-06-09,1,Contact Center Operations Manager,Override rate monitored monthly threshold 25 percent
AI-0005,Deposit Campaign Segmentation,Bank C,Marketing,SVP Marketing,Marketing Analytics Manager,Segments existing customers for deposit product outreach,A,MDL-0502,Predictive,Build,,,,,Confidential,Yes,CO,Medium,Medium,Low,Medium,2,Marketing targeting with proxy exposure; no credit decision involved,Campaign list reviewed by Compliance before release,Yes,Production,2025-06-17,2026-05-20,2027-05-20,0,Marketing Analytics Manager,Fairness screen performed on targeting outcomes
AI-0006,Entity Resolution Service,Holding Co,Data Management,Chief Data Officer,Data Platform Lead,Resolves customer identity across systems; output consumed by AI-0002,C,,Predictive,Build,,,,,Restricted,Yes,All,High,High,Medium,High,1,Feeds an AML model; inherits downstream regulatory exposure,Exceptions queued for data steward review,Yes,Production,2024-08-12,2026-02-27,2027-02-27,0,Data Platform Lead,Dependency recorded on AI-0002 in both directions
AI-0007,Branch Policy Assistant,Holding Co,Retail Operations,SVP Retail,Retail Operations Manager,Answers branch staff questions about internal policy and procedure,B,,Retrieval,Buy,Vendor E,Knowledge Assistant,Foundation Model X,Provider X,Internal,No,All,Low,Low,Low,Low,3,Internal only with entitlement aware retrieval and citation; no customer output,Human in the loop; staff verify against cited source,Yes,Production,2026-04-01,2026-03-19,2028-03-19,0,Retail Operations Manager,Citation fidelity sampled monthly
AI-0008,Enterprise Drafting Assistant,Holding Co,Technology,CIO,Workplace Technology Manager,General purpose drafting and summarization for employees,B,,Generative,Buy,Vendor F,Workspace AI,Foundation Model Z,Provider Z,Internal,No,All,Minimal,Low,Minimal,Minimal,4,Matches pre approved pattern P-01; internal general business data only,User authors and reviews all output,Yes,Production,2025-12-08,2026-01-15,2027-12-08,0,Workplace Technology Manager,Registered under pattern P-01; DLP policy extended to this destination
AI-0009,Applicant Screening (vendor feature),Holding Co,Human Resources,CHRO,Talent Acquisition Manager,Ranks and screens job applicants within the applicant tracking system,B,,Predictive,Buy,Vendor G,ATS,,,Confidential,No,All,High,Medium,Medium,High,1,Informs employment decisions; automatic Tier 1 trigger; found through discovery not intake,Recruiter reviews all candidates regardless of rank,Feature disabled pending review,Suspended,2025-02-19,2026-08-26,2027-08-26,4,Talent Acquisition Manager,Found via vendor AI questionnaire; enabled by vendor default in 2025; suspended pending fairness testing
AI-0010,Vendor Invoice Extraction,Holding Co,Procurement,VP Procurement,Procurement Operations Lead,Extracts fields from supplier invoices for AP processing,B,,Predictive,Buy,Vendor H,AP Automation,,,Confidential,No,All,Low,Medium,Medium,Low,3,Internal financial process with human exception review; no customer impact,Human on the loop; exceptions and low confidence routed to review,Yes,Production,2025-08-25,2026-07-07,2028-07-07,0,Procurement Operations Lead,Accuracy monitored against manual sample monthly
